Cinsiyet|Yaş Grubu|Eğitim Seviyesi|ÖlçümYılı|Sayı
Erkek|14-17|Bilinmeyen|2021|10979.0
Erkek|14-17|Lise Ve Dengi Meslek Okulu|2021|21763.0
Erkek|14-17|Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen|2021|24626.0
Erkek|14-17|Okuma Yazma Bilmeyen|2021|26.0
Erkek|14-17|Ortaokul Veya Dengi Meslek Ortaokul|2021|2410488.0
Erkek|14-17|İlkokul|2021|93346.0
Erkek|14-17|İlköğretim|2021|1.0
Erkek|18-21|Bilinmeyen|2021|11379.0
Erkek|18-21|Lise Ve Dengi Meslek Okulu|2021|1725226.0
Erkek|18-21|Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen|2021|20254.0
Erkek|18-21|Okuma Yazma Bilmeyen|2021|272.0
Erkek|18-21|Ortaokul Veya Dengi Meslek Ortaokul|2021|670634.0
Erkek|18-21|Yüksekokul Veya Fakülte|2021|105759.0
Erkek|18-21|İlkokul|2021|13306.0
Erkek|18-21|İlköğretim|2021|99.0
Erkek|22-24|Bilinmeyen|2021|8558.0
Erkek|22-24|Lise Ve Dengi Meslek Okulu|2021|955461.0
Erkek|22-24|Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen|2021|13407.0
Erkek|22-24|Okuma Yazma Bilmeyen|2021|834.0
Erkek|22-24|Ortaokul Veya Dengi Meslek Ortaokul|2021|473958.0
Erkek|22-24|Yüksek Lisans (5 Veya 6 Yıllık Fakülteler Dahil)|2021|7959.0
Erkek|22-24|Yüksekokul Veya Fakülte|2021|538380.0
Erkek|22-24|İlkokul|2021|7198.0
Erkek|22-24|İlköğretim|2021|4435.0
Erkek|25-29|Bilinmeyen|2021|16785.0
Erkek|25-29|Doktora|2021|316.0
Erkek|25-29|Lise Ve Dengi Meslek Okulu|2021|932017.0
Erkek|25-29|Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen|2021|30635.0
Erkek|25-29|Okuma Yazma Bilmeyen|2021|5100.0
Erkek|25-29|Ortaokul Veya Dengi Meslek Ortaokul|2021|770429.0
Erkek|25-29|Yüksek Lisans (5 Veya 6 Yıllık Fakülteler Dahil)|2021|101056.0
Erkek|25-29|Yüksekokul Veya Fakülte|2021|1176777.0
Erkek|25-29|İlkokul|2021|50643.0
Erkek|25-29|İlköğretim|2021|97103.0
Erkek|30-34|Bilinmeyen|2021|25328.0
Erkek|30-34|Doktora|2021|7950.0
Erkek|30-34|Lise Ve Dengi Meslek Okulu|2021|1017605.0
Erkek|30-34|Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen|2021|46874.0
Erkek|30-34|Okuma Yazma Bilmeyen|2021|9993.0
Erkek|30-34|Ortaokul Veya Dengi Meslek Ortaokul|2021|270316.0
Erkek|30-34|Yüksek Lisans (5 Veya 6 Yıllık Fakülteler Dahil)|2021|151916.0
Erkek|30-34|Yüksekokul Veya Fakülte|2021|1024828.0
Erkek|30-34|İlkokul|2021|42953.0
Erkek|30-34|İlköğretim|2021|517598.0
Erkek|35-39|Bilinmeyen|2021|32098.0
Erkek|35-39|Doktora|2021|18766.0
Erkek|35-39|Lise Ve Dengi Meslek Okulu|2021|1015230.0
Erkek|35-39|Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen|2021|30025.0
Erkek|35-39|Okuma Yazma Bilmeyen|2021|13252.0
Erkek|35-39|Ortaokul Veya Dengi Meslek Ortaokul|2021|382210.0
Erkek|35-39|Yüksek Lisans (5 Veya 6 Yıllık Fakülteler Dahil)|2021|144532.0
Erkek|35-39|Yüksekokul Veya Fakülte|2021|810826.0
Erkek|35-39|İlkokul|2021|269373.0
Erkek|35-39|İlköğretim|2021|432709.0
Erkek|40-44|Bilinmeyen|2021|29889.0
Erkek|40-44|Doktora|2021|25446.0
Erkek|40-44|Lise Ve Dengi Meslek Okulu|2021|1073193.0
Erkek|40-44|Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen|2021|19939.0
Erkek|40-44|Okuma Yazma Bilmeyen|2021|13041.0
Erkek|40-44|Ortaokul Veya Dengi Meslek Ortaokul|2021|491559.0
Erkek|40-44|Yüksek Lisans (5 Veya 6 Yıllık Fakülteler Dahil)|2021|127486.0
Erkek|40-44|Yüksekokul Veya Fakülte|2021|648102.0
Erkek|40-44|İlkokul|2021|394144.0
Erkek|40-44|İlköğretim|2021|409754.0
Erkek|45-49|Bilinmeyen|2021|29025.0
Erkek|45-49|Doktora|2021|21933.0
Erkek|45-49|Lise Ve Dengi Meslek Okulu|2021|790730.0
Erkek|45-49|Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen|2021|16089.0
Erkek|45-49|Okuma Yazma Bilmeyen|2021|11325.0
Erkek|45-49|Ortaokul Veya Dengi Meslek Ortaokul|2021|457016.0
Erkek|45-49|Yüksek Lisans (5 Veya 6 Yıllık Fakülteler Dahil)|2021|80134.0
Erkek|45-49|Yüksekokul Veya Fakülte|2021|511150.0
Erkek|45-49|İlkokul|2021|437318.0
Erkek|45-49|İlköğretim|2021|434879.0
Erkek|50-54|Bilinmeyen|2021|29448.0
Erkek|50-54|Doktora|2021|20715.0
Erkek|50-54|Lise Ve Dengi Meslek Okulu|2021|588307.0
Erkek|50-54|Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen|2021|15956.0
Erkek|50-54|Okuma Yazma Bilmeyen|2021|10337.0
Erkek|50-54|Ortaokul Veya Dengi Meslek Ortaokul|2021|426048.0
Erkek|50-54|Yüksek Lisans (5 Veya 6 Yıllık Fakülteler Dahil)|2021|56333.0
Erkek|50-54|Yüksekokul Veya Fakülte|2021|372624.0
Erkek|50-54|İlkokul|2021|447933.0
Erkek|50-54|İlköğretim|2021|395012.0
Erkek|55-59|Bilinmeyen|2021|34910.0
Erkek|55-59|Doktora|2021|16286.0
Erkek|55-59|Lise Ve Dengi Meslek Okulu|2021|533875.0
Erkek|55-59|Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen|2021|24887.0
Erkek|55-59|Okuma Yazma Bilmeyen|2021|14102.0
Erkek|55-59|Ortaokul Veya Dengi Meslek Ortaokul|2021|387706.0
Erkek|55-59|Yüksek Lisans (5 Veya 6 Yıllık Fakülteler Dahil)|2021|36305.0
Erkek|55-59|Yüksekokul Veya Fakülte|2021|294404.0
Erkek|55-59|İlkokul|2021|620789.0
Erkek|55-59|İlköğretim|2021|340142.0
Erkek|6-13|Bilinmeyen|2021|30921.0
Erkek|6-13|Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen|2021|2675050.0
Erkek|6-13|Okuma Yazma Bilmeyen|2021|26940.0
Erkek|6-13|Ortaokul Veya Dengi Meslek Ortaokul|2021|128488.0
Erkek|6-13|İlkokul|2021|2398736.0
Erkek|60-64|Bilinmeyen|2021|28562.0
Erkek|60-64|Doktora|2021|9535.0
Erkek|60-64|Lise Ve Dengi Meslek Okulu|2021|375892.0
Erkek|60-64|Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen|2021|29975.0
Erkek|60-64|Okuma Yazma Bilmeyen|2021|15994.0
Erkek|60-64|Ortaokul Veya Dengi Meslek Ortaokul|2021|234324.0
Erkek|60-64|Yüksek Lisans (5 Veya 6 Yıllık Fakülteler Dahil)|2021|19910.0
Erkek|60-64|Yüksekokul Veya Fakülte|2021|214389.0
Erkek|60-64|İlkokul|2021|663691.0
Erkek|60-64|İlköğretim|2021|159543.0
Erkek|65+|Bilinmeyen|2021|68277.0
Erkek|65+|Doktora|2021|15621.0
Erkek|65+|Lise Ve Dengi Meslek Okulu|2021|419410.0
Erkek|65+|Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen|2021|276952.0
Erkek|65+|Okuma Yazma Bilmeyen|2021|147423.0
Erkek|65+|Ortaokul Veya Dengi Meslek Ortaokul|2021|331033.0
Erkek|65+|Yüksek Lisans (5 Veya 6 Yıllık Fakülteler Dahil)|2021|30732.0
Erkek|65+|Yüksekokul Veya Fakülte|2021|389237.0
Erkek|65+|İlkokul|2021|1828510.0
Erkek|65+|İlköğretim|2021|108702.0
Kadın|14-17|Bilinmeyen|2021|10522.0
Kadın|14-17|Lise Ve Dengi Meslek Okulu|2021|22634.0
Kadın|14-17|Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen|2021|27388.0
Kadın|14-17|Okuma Yazma Bilmeyen|2021|20.0
Kadın|14-17|Ortaokul Veya Dengi Meslek Ortaokul|2021|2275135.0
Kadın|14-17|İlkokul|2021|93759.0
Kadın|18-21|Bilinmeyen|2021|12342.0
Kadın|18-21|Lise Ve Dengi Meslek Okulu|2021|1729589.0
Kadın|18-21|Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen|2021|27138.0
Kadın|18-21|Okuma Yazma Bilmeyen|2021|643.0
Kadın|18-21|Ortaokul Veya Dengi Meslek Ortaokul|2021|497111.0
Kadın|18-21|Yüksekokul Veya Fakülte|2021|155742.0
Kadın|18-21|İlkokul|2021|17746.0
Kadın|18-21|İlköğretim|2021|142.0
Kadın|22-24|Bilinmeyen|2021|11275.0
Kadın|22-24|Lise Ve Dengi Meslek Okulu|2021|727545.0
Kadın|22-24|Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen|2021|28341.0
Kadın|22-24|Okuma Yazma Bilmeyen|2021|3311.0
Kadın|22-24|Ortaokul Veya Dengi Meslek Ortaokul|2021|385692.0
Kadın|22-24|Yüksek Lisans (5 Veya 6 Yıllık Fakülteler Dahil)|2021|11771.0
Kadın|22-24|Yüksekokul Veya Fakülte|2021|743178.0
Kadın|22-24|İlkokul|2021|13945.0
Kadın|22-24|İlköğretim|2021|4247.0
Kadın|25-29|Bilinmeyen|2021|25171.0
Kadın|25-29|Doktora|2021|439.0
Kadın|25-29|Lise Ve Dengi Meslek Okulu|2021|644164.0
